Player,Team,Pos,Injury,Status,Value,Injury Weight
Josiah Harris,Cleveland State,F,Concussion,Game Time Decision,Rotational Depth,0.01
Josh Harris,Indiana,F,Foot,Out,Rotational Depth,0.02
DeShawn Harris-Smith,Georgetown,G,Personal,Out For Season,Impact Role Player,0
Carlos Hart,Eastern Michigan,G,Suspension,Out,Rotational Depth,0.02
Braydon Hawthorne,Kentucky,F,Redshirt,Out For Season,Rotational Depth,0
Jalen Haynes,Cincinnati,F,Knee,Out For Season,Impact Role Player,0
Miles Heide,San Diego State,F,Wrist,Out,Rotational Depth,0.02
Tyler Hendricks,Utah Valley,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Myles Herro,Ohio State,G,Redshirt,Out For Season,Rotational Depth,0
Fatt Hill,George Mason,G,Ankle,Game Time Decision,Rotational Depth,0.01
CJ Hines,Temple,G,Not Injury Related,Out,Impact Role Player,0.07
Dallas Hobbs,Rice,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Matthew Hodge,Villanova,F,Knee,Out For Season,Impact Role Player,0
Adante' Holiman,Arizona State,G,Elbow,Out For Season,Rotational Depth,0
LaTrell Hoover,Texas Tech,F,Redshirt,Out For Season,Rotational Depth,0
Kymany Houinsou,Loyola-Chicago,G,Undisclosed,Out,Impact Role Player,0.07
Tyler Houser,Delaware,C,Undisclosed,Out For Season,Impact Role Player,0
Jax Howard,Middle Tennessee St.,G,Undisclosed,Out,Rotational Depth,0.02
Aaron Hunkin-Claytor,Hawaii,G,Toe,Out For Season,Rotational Depth,0
Keiveon Hunt,Jackson State,G,Knee,Out For Season,Rotational Depth,0
Joe Hurlburt,Davidson,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Jovan Icitovic,Arizona State,F,Redshirt,Out For Season,Rotational Depth,0
Moek Icke,Rhode Island,C,Redshirt,Out For Season,Rotational Depth,0
Andre Iguodala II,Baylor,G,Redshirt,Out For Season,Rotational Depth,0
Mobi Ikegwuruka,Kansas State,G,Personal,Game Time Decision,Rotational Depth,0.01
Sam Imade,Air Force,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Evan Ipsaro,Miami (OH),G,Knee,Out For Season,Impact Role Player,0
Dishon Jackson,Pittsburgh,C,Undisclosed,Out For Season,Key Starter/Star,0
Jalen Jackson,Butler,G,Ankle,Out For Season,Impact Role Player,0
Bryce Jackson,Houston,G,Redshirt,Out For Season,Rotational Depth,0
Jason Jakstys,Illinois,C,Shoulder,Out For Season,Rotational Depth,0
Ugnius Jarusevicius,Nebraska,F,Back,Out,Rotational Depth,0.02
Kordel Jefferson,Houston,G,Knee,Out For Season,Rotational Depth,0
Will Jeffress,Louisiana Tech,F,Knee,Out For Season,Rotational Depth,0
Troy Jenkins,Fresno State,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Robert Jennings,Oklahoma State,F,Hip,Out For Season,Impact Role Player,0
London Johnson,Louisville,G,Redshirt,Out For Season,Impact Role Player,0
Koren Johnson,Mississippi,G,Undisclosed,Game Time Decision,Key Starter/Star,0.075
Ty-Laur Johnson,San Diego,G,Not Injury Related,Out,Impact Role Player,0.07
Dorian Jones,Rutgers,G,Redshirt,Out For Season,Impact Role Player,0
Tajae Jones,Siena,F,Back,Out,Rotational Depth,0.02
Sin'Cere Jones,Virginia Tech,F,Foot,Out For Season,Rotational Depth,0
Sean Jones,Marquette,G,Toe,Out For Season,Impact Role Player,0
Sir Marius Jones,New Mexico,G,Redshirt,Out For Season,Rotational Depth,0
Tanner Jones,Central Florida,G,Undisclosed,Out,Rotational Depth,0.02
Papa Amadou Kante,Pittsburgh,F,Knee,Out For Season,Rotational Depth,0
Bouna Kebe,Delaware,F,Undisclosed,Out,Rotational Depth,0.02
Jamyron Keller,Louisiana-Lafayette,G,Foot,Out For Season,Impact Role Player,0
Mikey Kelvin,Florida International,F,Undisclosed,Out For Season,Rotational Depth,0
Franck Kepnang,Washington,C,Leg,Game Time Decision,Key Starter/Star,0.075
George Kimble,Vanderbilt,G,Knee,Out For Season,Rotational Depth,0
Amarr Knox,Eastern Kentucky,G,Not Injury Related,Out,Impact Role Player,0.07
Brody Kozlowski,BYU,F,Redshirt,Out For Season,Rotational Depth,0
Amar Kuljuhovic,Missouri State,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Trevion LaBeaux,East Carolina,G,Lower Body,Out For Season,Rotational Depth,0
Gabriel Landeira,Georgetown,G,Undisclosed,Out,Rotational Depth,0.02
Colt Langdon,North Carolina State,F,Undisclosed,Out,Rotational Depth,0.02
Peyton Law,South Alabama,F,Knee,Out,Rotational Depth,0.02
Preston Lee,Portland,G,Shoulder,Out For Season,Rotational Depth,0
KJ Lewis,Georgetown,G,Ankle,Out For Season,Key Starter/Star,0
Chas Lewless,West Georgia,G,Arm,Game Time Decision,Rotational Depth,0.01
Ricky Liburd,Michigan,F,Redshirt,Out For Season,Rotational Depth,0
NaVaughn Long,Portland,G,Hand,Out For Season,Rotational Depth,0
Max Lorenson,Minnesota,G,Redshirt,Out For Season,Rotational Depth,0
Jeremy Lorenz,DePaul,F,Hip,Out,Impact Role Player,0.07
Chuck Love,Loyola-Chicago,G,Undisclosed,Out,Rotational Depth,0.02
Jaland Lowe,Kentucky,G,Shoulder,Out For Season,Key Starter/Star,0
CJ Luster,UNC-Wilmington,G,Undisclosed,Out For Season,Rotational Depth,0
Treyvon Maddox,Miami,F,Undisclosed,Out,Rotational Depth,0.02
JJ Mandaquit,Washington,G,Foot,Out For Season,Impact Role Player,0
Jon Mani,Colorado,G,Redshirt,Out For Season,Rotational Depth,0
Evan Manjikian,UCLA,F,Undisclosed,Out,Rotational Depth,0.02
Isaiah Manning,Sam Houston,F,Undisclosed,Out For Season,Rotational Depth,0
Marqus Marion,Wake Forest,F,Chest,Out For Season,Rotational Depth,0
Amar'e Marshall,St. Bonaventure,G,Foot,Out,Key Starter/Star,0.15
Jaeden Marshall,La Salle,G,Leg,Game Time Decision,Rotational Depth,0.01
Jackson McAndrew,Creighton,F,Foot,Out For Season,Impact Role Player,0
Liam McChesney,Creighton,F,Undisclosed,Out,Rotational Depth,0.02
Nic McClain,Belmont,G,Knee,Out For Season,Rotational Depth,0
Will McClendon,North Texas,G,Leg,Out For Season,Impact Role Player,0
Peyton McCollum,Iowa,G,Foot,Out For Season,Rotational Depth,0
Quentin McCoy,Arizona State,G,Redshirt,Out For Season,Rotational Depth,0
Bryson McGlothin,Richmond,F,Undisclosed,Out,Rotational Depth,0.02
Jaron McKie,Dayton,G,Shoulder,Out For Season,Rotational Depth,0
Isaiah Medina,DePaul,F,Redshirt,Out For Season,Rotational Depth,0
Mackenzie Mgbako,Texas A&M,F,Foot,Out For Season,Key Starter/Star,0
Ian Miletic,Marquette,F,Redshirt,Out For Season,Rotational Depth,0
Robert Miller,Louisiana State,F,Undisclosed,Out,Impact Role Player,0.07
Tibor Mirtic,Penn State,F,Knee,Game Time Decision,Rotational Depth,0.01
Justin Moore,Loyola-Chicago,G,Undisclosed,Out,Key Starter/Star,0.15
Will Mortimore,College of Charleston,F,Concussion,Out,Rotational Depth,0.02
Yaphet Moundi,San Jose State,F,Foot,Out,Rotational Depth,0.02
Neiko Mundey,Texas A&M,G,Redshirt,Out For Season,Rotational Depth,0
KeShawn Murphy,Auburn,F,Pro Draft Prep,Out For Season,Impact Role Player,0
Luke Naser,Xavier,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Cheikh Ndiaye,Sam Houston,F,Arm,Out For Season,Rotational Depth,0
Dayan Nessah,Cleveland State,F,Shoulder,Game Time Decision,Rotational Depth,0.01
Ndewedo Newbury,San Francisco,F,Leg,Out,Impact Role Player,0.07
Nathan Nguyen,Sam Houston,G,Undisclosed,Out For Season,Rotational Depth,0
Amarion Nimmers,Florida International,G,Undisclosed,Out For Season,Rotational Depth,0
Christian Nitu,Washington,F,Redshirt,Out For Season,Rotational Depth,0
Mo Njie,Texas-San Antonio,C,Finger,Game Time Decision,Rotational Depth,0.01
Kebba Njie,Notre Dame,F,Knee,Game Time Decision,Impact Role Player,0.035
Gehrig Normand,Santa Clara,G,Undisclosed,Out,Rotational Depth,0.02
Austin Nunez,Texas-San Antonio,G,Ankle,Game Time Decision,Rotational Depth,0.01
Chris Nwuli,Rutgers,F,Undisclosed,Out,Impact Role Player,0.07
Brayden O'Connor,George Mason,G,Foot,Out For Season,Impact Role Player,0
Jacob Ognacevic,Washington,F,Foot,Game Time Decision,Key Starter/Star,0.075
Frank Oguche,UNC-Charlotte,G,Undisclosed,Out,Rotational Depth,0.02
Obinnaya Okafor,VCU,F,Undisclosed,Out,Rotational Depth,0.02
Chisom Okpara,Stanford,F,Lower Body,Out For Season,Impact Role Player,0
Brandon Oloumou,Middle Tennessee St.,C,Undisclosed,Out,Rotational Depth,0.02
Adam Olsen,South Alabama,F,Lower Leg,Out,Rotational Depth,0.02
BJ Omot,Minnesota,F,Leg,Out For Season,Impact Role Player,0
Collins Onyejiaka,Alabama,C,Undisclosed,Out,Rotational Depth,0.02
Emeka Opurum,Auburn,C,Undisclosed,Out For Season,Rotational Depth,0
Xavier Osceola,Florida State,G,Hip,Game Time Decision,Rotational Depth,0.01
Abraham Oyeadier,West Virginia,C,Undisclosed,Out For Season,Rotational Depth,0
Arrinten Page,Northwestern,F,Illness,Game Time Decision,Impact Role Player,0.035
Riley Parker,Portland,G,Foot,Out For Season,Rotational Depth,0
Rakease Passmore,Maryland,G,Achilles,Game Time Decision,Impact Role Player,0.035
Jacob Patrick,Utah,G,Undisclosed,Out,Rotational Depth,0.02
Kallai Patton,New Mexico,G,Redshirt,Out For Season,Rotational Depth,0
Pharrel Payne,Maryland,C,Leg,Game Time Decision,Key Starter/Star,0.075
Sheek Pearson,Marquette,F,Redshirt,Out For Season,Rotational Depth,0
Maikcol Perez,Baylor,F,Knee,Out For Season,Rotational Depth,0
KJ Perry,BYU,G,Redshirt,Out For Season,Rotational Depth,0
Javon Perry,Rhode Island,F,Redshirt,Out For Season,Rotational Depth,0
Shamarius Peterkin,Virginia Tech,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Clash Peters,Georgia State,F,Personal,Out,Rotational Depth,0.02
Rytis Petraitis,California,F,Lower Leg,Out For Season,Key Starter/Star,0
Nick Petronio,Boston College,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Ryan Pettis,Fordham,G,Concussion,Out,Rotational Depth,0.02
Cade Phillips,Tennessee,F,Shoulder,Out For Season,Rotational Depth,0
Nate Pickens,BYU,G,Undisclosed,Out For Season,Impact Role Player,0
Caden Pierce,Purdue,F,Redshirt,Out For Season,Key Starter/Star,0
Lance Piper,Delaware,G,Upper Leg,Out,Rotational Depth,0.02
Casper Pohto,St. John's,G,Hip,Out For Season,Impact Role Player,0
Kash Polk,Arizona State,F,Redshirt,Out For Season,Rotational Depth,0
Reece Potter,Kentucky,F,Redshirt,Out For Season,Rotational Depth,0
Aaron Powell,Rice,G,Undisclosed,Out For Season,Rotational Depth,0
Gabriel Pozzato,Xavier,F,Knee,Game Time Decision,Rotational Depth,0.01
Devon Pryor,Oregon,F,Groin,Out,Rotational Depth,0.02
Daithi Quinn,East Carolina,G,Knee,Out For Season,Rotational Depth,0
Tyrus Rathan-Mayes,Wichita State,G,Redshirt,Out For Season,Rotational Depth,0
Jordan Rayford,Indiana,G,Undisclosed,Out For Season,Rotational Depth,0
Jalen Reed,Louisiana State,F,Achilles,Out For Season,Key Starter/Star,0
Caleb Reese,Loyola-Chicago,G,Undisclosed,Out,Rotational Depth,0.02
Cavan Reilly,Delaware,G,Hamstring,Out,Impact Role Player,0.07
Jasir Rencher,Washington,F,Undisclosed,Out For Season,Rotational Depth,0
Lawson Rice,Western Kentucky,G,Knee,Out For Season,Rotational Depth,0
Rodney Rice,USC,G,Shoulder,Out For Season,Impact Role Player,0
Myles Rice,Maryland,G,Undisclosed,Game Time Decision,Key Starter/Star,0.075
Macaleab Rich,Texas-San Antonio,F,Groin,Out For Season,Rotational Depth,0
Dominik Robinson,Washington State,F,Redshirt,Game Time Decision,Rotational Depth,0.01
Azavier Robinson,Butler,G,Wrist,Out For Season,Impact Role Player,0
Jackson Rogers,Sam Houston,G,Undisclosed,Out For Season,Rotational Depth,0
Ben Roseborough,San Jose State,G,Undisclosed,Out,Rotational Depth,0.02
Jalen Rougier-Roane,George Washington,G,Undisclosed,Out For Season,Rotational Depth,0
Jovani Ruff,California,G,Redshirt,Out For Season,Impact Role Player,0
